id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kondisi_lab,jumlah_lab,satuan,tahun
123,32,JAWA BARAT,3277,KOTA CIMAHI,RUSAK SEDANG,0,UNIT,2017/2018
124,32,JAWA BARAT,3277,KOTA CIMAHI,RUSAK BERAT,0,UNIT,2017/2018
125,32,JAWA BARAT,3277,KOTA CIMAHI,RUSAK TOTAL,0,UNIT,2017/2018
126,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BAIK,1,UNIT,2017/2018
127,32,JAWA BARAT,3278,KOTA TASIKMALAYA,RUSAK RINGAN,1,UNIT,2017/2018
128,32,JAWA BARAT,3278,KOTA TASIKMALAYA,RUSAK SEDANG,0,UNIT,2017/2018
129,32,JAWA BARAT,3278,KOTA TASIKMALAYA,RUSAK BERAT,0,UNIT,2017/2018
130,32,JAWA BARAT,3278,KOTA TASIKMALAYA,RUSAK TOTAL,0,UNIT,2017/2018
131,32,JAWA BARAT,3279,KOTA BANJAR,BAIK,0,UNIT,2017/2018
132,32,JAWA BARAT,3279,KOTA BANJAR,RUSAK RINGAN,0,UNIT,2017/2018
133,32,JAWA BARAT,3279,KOTA BANJAR,RUSAK SEDANG,0,UNIT,2017/2018
134,32,JAWA BARAT,3279,KOTA BANJAR,RUSAK BERAT,0,UNIT,2017/2018
135,32,JAWA BARAT,3279,KOTA BANJAR,RUSAK TOTAL,0,UNIT,2017/2018
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,BAIK,11,UNIT,2018/2019
137,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUSAK RINGAN,9,UNIT,2018/2019
138,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUSAK SEDANG,2,UNIT,2018/2019
139,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUSAK BERAT,0,UNIT,2018/2019
140,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUSAK TOTAL,0,UNIT,2018/2019
141,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BAIK,13,UNIT,2018/2019
142,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUSAK RINGAN,8,UNIT,2018/2019
143,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUSAK SEDANG,0,UNIT,2018/2019
144,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUSAK BERAT,0,UNIT,2018/2019
145,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUSAK TOTAL,0,UNIT,2018/2019
146,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BAIK,10,UNIT,2018/2019
147,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUSAK RINGAN,7,UNIT,2018/2019
148,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUSAK SEDANG,0,UNIT,2018/2019
149,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUSAK BERAT,0,UNIT,2018/2019
150,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUSAK TOTAL,0,UNIT,2018/2019
151,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BAIK,5,UNIT,2018/2019
152,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUSAK RINGAN,2,UNIT,2018/2019
153,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUSAK SEDANG,0,UNIT,2018/2019
154,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUSAK BERAT,0,UNIT,2018/2019
155,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUSAK TOTAL,0,UNIT,2018/2019
156,32,JAWA BARAT,3205,KABUPATEN GARUT,BAIK,6,UNIT,2018/2019
157,32,JAWA BARAT,3205,KABUPATEN GARUT,RUSAK RINGAN,6,UNIT,2018/2019
158,32,JAWA BARAT,3205,KABUPATEN GARUT,RUSAK SEDANG,1,UNIT,2018/2019
